"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height;Url
656997027541;;;;;"Шляпная коробка ""Orange vibe"" - M";;;;4890.00;;;Размер:M;;8u2k85MoHHUbjz7bPaJV;643651559691;0;0;0;0;https://deliberry-shop.ru/katalog/tproduct/520569011-643651559691-shlyapnaya-korobka-orange-vibe?editionuid=656997027541
822065559801;;;;;"Шляпная коробка ""Orange vibe"" - L";;;;5780.00;;;Размер:L;;74PDx6fZEeLkNum6Vhoe;643651559691;0;0;0;0;https://deliberry-shop.ru/katalog/tproduct/520569011-643651559691-shlyapnaya-korobka-orange-vibe?editionuid=822065559801
804788731151;;;-15%;Наборы;"Набор ""Strawberries and bananas""";;"<div style=""font-size: 18px;"" data-customstyle=""yes"">Набор порадует вас не только нашей вкусной клубникой, но и бананами в шоколаде украшенными сублимированной малиной и миндалем.<br /><br /><u>Наши конкурентные преимущества:</u><br /><ol><li>Фото-контроль перед отправкой заказчику.</li><li>Бережная курьерская доставка.</li><li>Крепкая и надежная упаковка.</li><li>Постоянная связь с менеджером.</li></ol><br />Все ингредиенты в нашем наборе съедобны.<br /><br />Срок годности набора - 24 часа. Так же рекомендуем хранить ваш заказ в холодильнике, так он будет дольше оставаться свежим и не потеряет своих вкусовых качеств.<br /><br />Представляем вам клубнику, одну из самый вкусных на рынке, об этом нам говорят отзывы наших любимых клиентов. Ягода приезжает к нам рано утром каждый день напрямую от поставщиков, что бы уже в течении дня мы могли порадовать вас вкусным и свежим десертом!<br /><br />Клубника в шоколаде не была бы ею без шоколада.<br />Callebaut - это бельгийский шоколад который стал культовым среди шефов и кондитеров. Его нежнейший вкус и структура незаменимы в нашем деле, поэтому наш выбор пал именно на него.<br /><br />Курьерская доставка осуществлятся круглосуточно 7 дней в неделю.<br /><ul><li style=""text-align: left;"">Доставка по Москве - 490 руб.</li><li style=""text-align: left;"">Доставка за МКАД - рассчитывается индивидуально (от 750 руб.)</li><li style=""text-align: left;"">Минимальный диапазон доставки с у четом приготовления: 2-3 часа</li></ul></div>";https://static.tildacdn.com/tild3135-3933-4732-b633-646163323465/330b32ff-fff8-4908-8.JPG;3290.00;;;;"Подарочная открытка:Без открытки=+0;""С днем рождения"" 100 руб.=+100;""С любовью"" 100 руб.=+100;""Хорошего дня"" 100 руб.=+100";tzdK9xNdmXjtnGCZaE3i;;0;0;0;0;https://deliberry-shop.ru/katalog/tproduct/503828044-804788731151-nabor-strawberries-and-bananas
266311004251;;;;Игрушки;"Плюшевый мишка";;"<div style=""font-size: 20px;"" data-customstyle=""yes"">Прекрасная мягкая игрушка будет отличным дополнением к вашему вкусному подарку!#nbsp;<br /><br /><u>Наши конкурентные преимущества:</u><br /><ol><li>Фото-контроль перед отправкой заказчику.</li><li>Бережная курьерская доставка.</li><li>Крепкая и надежная упаковка.</li><li>Постоянная связь с менеджером.</li></ol><br />Курьерская доставка осуществлятся круглосуточно 7 дней в неделю.<br /><ul><li style=""text-align: left;"">Доставка по Москве - 490 руб.</li><li style=""text-align: left;"">Доставка за МКАД - рассчитывается индивидуально (от 750 руб.)</li><li style=""text-align: left;"">Минимальный диапазон доставки с у четом приготовления: 2-3 часа</li></ul></div>";https://static.tildacdn.com/stor3933-6133-4139-b035-313637653932/79068772.jpg;;;;;;P262cofLPgkhYLfuZSkB;;0;0;0;0;https://deliberry-shop.ru/premium/tproduct/637710081-266311004251-plyushevii-mishka
201295761511;;;;;"Плюшевый мишка - S (Высота 35 см)";;;;1480.00;;;"Размер:S (Высота 35 см)";;Hr9eIaarbxC7h7rGrfRi;266311004251;0;0;0;0;https://deliberry-shop.ru/premium/tproduct/637710081-266311004251-plyushevii-mishka?editionuid=201295761511
386773487651;;;;;"Плюшевый мишка - M (Высота 55 см)";;;;2490.00;;;"Размер:M (Высота 55 см)";;HPemOX11BH9EOdTXYcJU;266311004251;0;0;0;0;https://deliberry-shop.ru/premium/tproduct/637710081-266311004251-plyushevii-mishka?editionuid=386773487651
277613780501;;;;;"Плюшевый мишка - L (Высота 85 см)";;;;4900.00;;;"Размер:L (Высота 85 см)";;AChhZBV7h45JCi0nSZlb;266311004251;0;0;0;0;https://deliberry-shop.ru/premium/tproduct/637710081-266311004251-plyushevii-mishka?editionuid=277613780501
290204897691;;;NEW;"Шляпные коробки;8 Марта";"Шляпная коробка ""Love message""";;"<div style=""font-size: 18px;"" data-customstyle=""yes"">Прекрасная шляпная коробка с цветами и вкусными ягодами подойдет для любого повода и праздника.#nbsp;<br /><br />#nbsp;<strong>Размеры:</strong><br /><ul><li>S#nbsp;15-17 ягод + цветы / диаметр коробки 16 см</li><li>M 25-30 ягод + цветы / диаметр коробки 18 см</li><li>L#nbsp;40-45 ягод + цветы / диаметр коробки 20 см</li></ul><br /><br />Все ингредиенты в нашем наборе съедобны.<br /><br /><u>Наши конкурентные преимущества:</u><br /><ol><li>Фото-контроль перед отправкой заказчику.</li><li>Бережная курьерская доставка.</li><li>Крепкая и надежная упаковка.</li><li>Постоянная связь с менеджером.</li></ol><br />Срок годности набора - 24 часа. Так же рекомендуем хранить ваш заказ в холодильнике, так он будет дольше оставаться свежим и не потеряет своих вкусовых качеств.<br /><br />Представляем вам клубнику, одну из самый вкусных на рынке, об этом нам говорят отзывы наших любимых клиентов. Ягода приезжает к нам рано утром каждый день напрямую от поставщиков, что бы уже в течении дня мы могли порадовать вас вкусным и свежим десертом!<br /><br />Клубника в шоколаде не была бы ею без шоколада.<br />Callebaut - это бельгийский шоколад который стал культовым среди шефов и кондитеров. Его нежнейший вкус и структура незаменимы в нашем деле, поэтому наш выбор пал именно на него.<br /><br />Курьерская доставка осуществлятся круглосуточно 7 дней в неделю.<br /><ul><li style=""text-align: left;"">Доставка по Москве - 490 руб.</li><li style=""text-align: left;"">Доставка за МКАД - рассчитывается индивидуально (от 750 руб.)</li><li style=""text-align: left;"">Минимальный диапазон доставки с у четом приготовления: 2-3 часа</li></ul></div>";https://static.tildacdn.com/stor3266-6433-4661-b764-346265653433/14575751.jpg;;;;;"Подарочная открытка:Без открытки=+0;""С днем рождения"" 100 руб.=+100;""С любовью"" 100 руб.=+100;""Хорошего дня"" 100 руб.=+100|Добавить топпер:Без топпера=+0;""С любовью"" 150 руб.=+150;""Поздравляю"" 150 руб.=+150;""С Днем рождения"" 150 руб.=+150;""С Новым годом"" 150 руб.=+150;""C 8 Марта"" 150 руб.=+150;""С Днем свадьбы"" 150 руб.=+150;""Любимой бабушке"" 150 руб.=+150;""Любимой маме"" 150 руб.=+150";lYg8cUd1GySd3JTg0JfL;;0;0;0;0;https://deliberry-shop.ru/katalog/tproduct/520569011-290204897691-shlyapnaya-korobka-love-message
256769863771;;;;;"Шляпная коробка ""Love message"" - S";;;;3690.00;;;Размер:S;;l4238fHvijzV5LFC9FOO;290204897691;0;0;0;0;https://deliberry-shop.ru/katalog/tproduct/520569011-290204897691-shlyapnaya-korobka-love-message?editionuid=256769863771
526441904831;;;;;"Шляпная коробка ""Love message"" - M";;;;4890.00;;;Размер:M;;oDfGoar4HBvajU09vGsk;290204897691;0;0;0;0;https://deliberry-shop.ru/katalog/tproduct/520569011-290204897691-shlyapnaya-korobka-love-message?editionuid=526441904831
